visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome,cooperation_numeric,outcome_numeric
19,1,2024-06-30,SW-11,Reintegration Assessment,School,Rivera (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
20,1,2024-07-29,SW-04,Reintegration Assessment,Barangay Office,Mendoza (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable,3,3.0
21,1,2024-08-18,SW-16,Reintegration Assessment,Barangay Office,Diaz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Needs Improvement,3,2.0
22,1,2024-09-13,SW-13,Post-Placement Monitoring,School,Cruz (Parent); Flores (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
23,1,2024-11-15,SW-04,Emergency,Church,Lopez (Parent); Cruz (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Neutral,False,True,Follow-up scheduled,Needs Improvement,2,2.0
24,1,2024-11-24,SW-09,Reintegration Assessment,Church,Lopez (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,,Unfavorable,2,1.0
25,1,2024-12-09,SW-12,Routine Follow-Up,Proposed Foster Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Inconclusive,4,
26,1,2025-01-12,SW-09,Emergency,Church,Cruz (Parent); Rivera (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,True,,Needs Improvement,3,2.0
27,1,2025-01-24,SW-12,Post-Placement Monitoring,Church,Garcia (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
28,1,2025-03-06,SW-18,Post-Placement Monitoring,Community Center,Mendoza (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
29,1,2025-03-20,SW-02,Reintegration Assessment,Community Center,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
30,1,2025-04-06,SW-06,Reintegration Assessment,Church,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
31,1,2025-04-16,SW-13,Post-Placement Monitoring,Proposed Foster Home,Lopez (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable,4,1.0
32,1,2025-04-19,SW-10,Reintegration Assessment,Community Center,Cruz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable,3,3.0
33,1,2025-05-16,SW-20,Routine Follow-Up,Church,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
34,1,2025-05-18,SW-14,Post-Placement Monitoring,Family Home,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
35,1,2025-07-05,SW-15,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable,3,1.0
36,1,2025-07-29,SW-18,Initial Assessment,Family Home,Reyes (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable,3,3.0
37,1,2025-08-08,SW-04,Routine Follow-Up,School,Reyes (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
38,1,2025-08-14,SW-19,Reintegration Assessment,School,Lopez (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,True,,Needs Improvement,4,2.0
39,1,2025-08-16,SW-04,Reintegration Assessment,School,Mendoza (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable,3,3.0
40,1,2025-09-24,SW-03,Routine Follow-Up,Church,Cruz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
41,1,2025-10-15,SW-01,Post-Placement Monitoring,School,Flores (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
42,1,2025-11-02,SW-02,Initial Assessment,Community Center,Lopez (Parent); Garcia (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
43,1,2025-11-09,SW-05,Reintegration Assessment,School,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable,4,1.0
44,1,2025-12-05,SW-04,Routine Follow-Up,Proposed Foster Home,Mendoza (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive,3,
45,1,2025-12-06,SW-05,Initial Assessment,Family Home,Rivera (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,True,False,,Inconclusive,4,
46,1,2025-12-14,SW-13,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable,4,1.0
47,1,2025-12-18,SW-16,Reintegration Assessment,School,Diaz (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
48,1,2026-01-03,SW-10,Reintegration Assessment,Family Home,Rivera (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
49,1,2026-01-12,SW-16,Routine Follow-Up,Community Center,Mendoza (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
50,1,2026-01-20,SW-13,Routine Follow-Up,Church,Diaz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable,4,1.0
51,1,2026-01-25,SW-04,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement,3,2.0
52,1,2026-01-26,SW-02,Reintegration Assessment,School,Torres (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
53,1,2026-02-06,SW-17,Routine Follow-Up,Family Home,Mendoza (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Inconclusive,4,
54,1,2026-02-23,SW-18,Reintegration Assessment,Church,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,True,,Needs Improvement,4,2.0
55,2,2023-04-09,SW-07,Emergency,Proposed Foster Home,Rivera (Parent); Flores (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
56,2,2023-04-29,SW-04,Routine Follow-Up,School,Flores (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable,4,3.0
57,2,2023-06-03,SW-07,Initial Assessment,Church,Diaz (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
58,2,2023-07-10,SW-05,Emergency,School,Reyes (Parent); Garcia (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Uncooperative,True,True,,Unfavorable,1,1.0
59,2,2023-07-24,SW-16,Initial Assessment,Family Home,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,False,Follow-up scheduled,Favorable,1,3.0
60,2,2023-08-05,SW-07,Emergency,School,Cruz (Parent); Santos (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
61,2,2023-10-17,SW-07,Initial Assessment,Family Home,Garcia (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,,Needs Improvement,2,2.0
62,2,2023-10-18,SW-19,Routine Follow-Up,Proposed Foster Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable,3,1.0
63,2,2023-10-24,SW-11,Routine Follow-Up,School,Santos (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement,3,2.0
64,2,2023-11-05,SW-10,Post-Placement Monitoring,Proposed Foster Home,Flores (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Favorable,4,3.0
65,2,2023-11-09,SW-14,Initial Assessment,Family Home,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
66,2,2023-11-26,SW-01,Routine Follow-Up,School,Cruz (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement,3,2.0
67,2,2024-01-04,SW-07,Initial Assessment,Community Center,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,,Unfavorable,2,1.0
68,2,2024-01-26,SW-20,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
69,2,2024-02-21,SW-13,Routine Follow-Up,Church,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Favorable,4,3.0
70,2,2024-02-25,SW-20,Routine Follow-Up,Barangay Office,Cruz (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
71,2,2024-04-01,SW-07,Routine Follow-Up,Proposed Foster Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive,3,
72,2,2024-04-08,SW-17,Initial Assessment,Family Home,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,,Needs Improvement,4,2.0
73,2,2024-04-21,SW-16,Post-Placement Monitoring,Church,Cruz (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
74,2,2024-04-27,SW-01,Routine Follow-Up,School,Santos (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
75,2,2024-06-08,SW-10,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
76,2,2024-06-10,SW-02,Routine Follow-Up,Barangay Office,Torres (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
77,2,2024-06-21,SW-03,Routine Follow-Up,School,Garcia (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
78,2,2024-06-25,SW-08,Initial Assessment,Barangay Office,Mendoza (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable,3,3.0
79,2,2024-09-07,SW-13,Post-Placement Monitoring,Family Home,Cruz (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable,4,1.0
80,2,2024-09-22,SW-03,Initial Assessment,Church,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable,3,3.0
81,2,2024-10-14,SW-03,Routine Follow-Up,Church,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement,3,2.0
82,2,2024-10-22,SW-10,Post-Placement Monitoring,Proposed Foster Home,Cruz (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
83,2,2024-11-24,SW-10,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
84,2,2024-12-03,SW-07,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
85,2,2024-12-04,SW-05,Routine Follow-Up,Family Home,Flores (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
86,2,2024-12-09,SW-12,Reintegration Assessment,School,Santos (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
87,2,2024-12-24,SW-11,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement,3,2.0
88,2,2025-01-02,SW-10,Initial Assessment,Proposed Foster Home,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Favorable,3,3.0
89,2,2025-01-03,SW-05,Reintegration Assessment,School,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
90,3,2024-06-08,SW-12,Routine Follow-Up,Family Home,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Unfavorable,2,1.0
91,3,2024-06-21,SW-13,Initial Assessment,School,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,,Favorable,1,3.0
92,3,2024-07-18,SW-19,Routine Follow-Up,Church,Garcia (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,True,,Unfavorable,1,1.0
93,3,2024-07-24,SW-11,Routine Follow-Up,Proposed Foster Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Unfavorable,2,1.0
94,3,2024-08-07,SW-07,Routine Follow-Up,Church,Garcia (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,False,,Inconclusive,1,
95,3,2024-09-19,SW-04,Initial Assessment,Proposed Foster Home,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable,2,3.0
96,3,2024-10-13,SW-18,Routine Follow-Up,Barangay Office,Santos (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Inconclusive,4,
97,3,2024-10-16,SW-09,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement,3,2.0
98,3,2024-11-09,SW-17,Routine Follow-Up,Community Center,Reyes (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Inconclusive,2,
99,3,2024-11-19,SW-05,Post-Placement Monitoring,Barangay Office,Flores (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,True,False,Follow-up scheduled,Favorable,1,3.0
100,3,2024-12-06,SW-05,Routine Follow-Up,Barangay Office,Lopez (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement,1,2.0
101,3,2024-12-13,SW-03,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable,1,3.0
102,3,2024-12-29,SW-02,Routine Follow-Up,School,Rivera (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable,3,1.0
103,3,2024-12-30,SW-03,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive,3,
104,3,2025-01-15,SW-15,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable,2,1.0
105,3,2025-01-17,SW-08,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement,3,2.0
106,3,2025-01-23,SW-11,Initial Assessment,School,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable,2,3.0
107,3,2025-02-08,SW-02,Emergency,School,Cruz (Parent); Cruz (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
108,3,2025-03-22,SW-02,Routine Follow-Up,Community Center,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,Follow-up scheduled,Favorable,4,3.0
109,3,2025-04-14,SW-17,Routine Follow-Up,Proposed Foster Home,Flores (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
110,3,2025-04-18,SW-06,Post-Placement Monitoring,Community Center,Flores (Parent); Santos (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,Follow-up scheduled,Needs Improvement,3,2.0
111,3,2025-09-24,SW-08,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
112,3,2025-09-27,SW-07,Routine Follow-Up,Barangay Office,Mendoza (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,,Needs Improvement,3,2.0
113,3,2025-11-09,SW-15,Post-Placement Monitoring,Community Center,Diaz (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
114,3,2025-11-30,SW-08,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
115,3,2025-12-10,SW-17,Routine Follow-Up,Family Home,Mendoza (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
116,4,2024-10-08,SW-10,Initial Assessment,Family Home,Reyes (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Favorable,3,3.0
117,4,2024-10-18,SW-17,Routine Follow-Up,School,Rivera (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
118,4,2025-01-19,SW-16,Routine Follow-Up,Barangay Office,Santos (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive,3,
119,4,2025-02-20,SW-18,Post-Placement Monitoring,Family Home,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,False,Follow-up scheduled,Favorable,4,3.0
120,4,2025-04-26,SW-01,Post-Placement Monitoring,Family Home,Torres (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
121,4,2025-05-10,SW-10,Reintegration Assessment,Community Center,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
122,4,2025-05-29,SW-18,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
123,4,2025-06-23,SW-09,Initial Assessment,Community Center,Garcia (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable,2,3.0
124,4,2026-02-13,SW-18,Post-Placement Monitoring,Church,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
125,5,2024-01-24,SW-03,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement,2,2.0
126,5,2024-02-04,SW-09,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable,2,1.0
127,5,2024-02-29,SW-03,Initial Assessment,School,Lopez (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,,Inconclusive,1,
128,5,2024-03-11,SW-14,Reintegration Assessment,Community Center,Santos (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
129,5,2024-04-03,SW-12,Initial Assessment,Barangay Office,Garcia (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,,Favorable,4,3.0
130,5,2024-05-09,SW-12,Reintegration Assessment,Church,Flores (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,False,Follow-up scheduled,Inconclusive,1,
131,5,2024-05-15,SW-05,Routine Follow-Up,Family Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
132,5,2024-05-23,SW-04,Routine Follow-Up,Community Center,Rivera (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
133,5,2024-07-15,SW-14,Initial Assessment,Family Home,Cruz (Parent); Torres (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
134,5,2024-09-24,SW-07,Post-Placement Monitoring,Proposed Foster Home,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Favorable,4,3.0
135,5,2024-09-25,SW-08,Routine Follow-Up,Proposed Foster Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
